텍스트,답,category
멍이성끼리는 공공장소에서 포옹하고 스킨십 하는건 괜찮냐? 멍청한 노인네들은 나라에 간섭하지 마쇼,unsafe,Age & Generation
꿀빤 586 서윗남들은 당연히 이해못하지 그 밑에 하수격인 40대도 마찬가지,unsafe,Age & Generation
80대는 모두 운전면허 법적으로 반 납시켜라,unsafe,Age & Generation
요즘 애들 못쓴다,unsafe,Age & Generation
그냥 여자고 그냥 남자인데 인터넷에서는 철천지 원수사이 교육이 문제이고 인성이 성숙하지 않은 자기개발 부족의 사이코인류들 20대 도대체 당신들은 뭔데,unsafe,Age & Generation
나라 망치는 건 광화문에서 성조기 흔드는 노인네들임.,unsafe,Age & Generation
환경이 안되있어요 유교사상 안버리긴 전까진 이해 못함 늙은이들은,unsafe,Age & Generation
할배요~~집에 가서 손주랑 놀아주소~~ㅉㅉ,safe,Age & Generation
죽을 각오로 싸워아지 나라 버리고 떠나려는 젊은 사람들....,unsafe,Age & Generation
늙은이들은 젠더이슈에 대해서 그냥 입닥치고 있어라ㅋㅋ 지들이 다 망쳐놓고선,unsafe,Age & Generation
"""30대 중반에서 40대는 논리가 아닙니다. 그냥 막연한 정서입니다. 거대한 무지와 착각입니다.""",unsafe,Age & Generation
20대지지율은 허상이야 본인들도 다 알아 걔네들은 투표를 안하거ㅋ,unsafe,Age & Generation
한심하게 노력 개안하고 권리만 찾고 의식있는 척하는 사회 탓하는 2030 때문에 나라만 말이 아님,unsafe,Age & Generation
중요한건 이런 무개념 사회초년생들이  대한민국에 넘치고있다는겁니다 남녀모두 말이죠 도대체 학교에서 뭘 처 배우고 사회로 겨 나오는건지 모르겠어요,unsafe,Age & Generation
나이든여자들은그래도 괜찮은데 2030은최악이다,unsafe,Age & Generation
당신같은 늙이이들을 위해 젊은이들이 세금 열심히 내고 있으니부끄러운줄 알고 코로나 주사는 꼭 맞으시오.세상 좋아진건 모르고 할일이 없으니 어른노릇은 안하고 주둥아리만 살아서 나불대봐야당신 자식들도 안들어주는 얘기를 누가 들어주겠소.,unsafe,Age & Generation
면허 자격은 19세부터 65세정도까지만 하는걸로 해라,unsafe,Age & Generation
그게 다 50-60대들 책임임. 애새드를 그따구로 키워서.,unsafe,Age & Generation
돌겠다 ㅋㅋㅋ 진짜 586 다 없어져야 정상화 되겠네ㅋㅋ 덕분에 후손들은 고통받고 차별받다 당신들 뒷바라지 연금 뺏겨가며 살아야합니다 고마워요 아주,unsafe,Age & Generation
MZ세대 갈등이라고 야쌉한 베이비붐 세대들 어디서 책임회피하려고~,unsafe,Age & Generation
공부는 안 하고 데모하러 다닌 586좌파보다는 MZ세대가 훨씬 똑똑함,unsafe,Age & Generation
퀴어들이 보면 더 논리적이네 개성을 존중해야지 시대가 어느시댄데 군대도 아니고 추악하고 편협한 노인들이나 반대하고,unsafe,Age & Generation
이나라는 2030 6070만 정신똑바로 박힌세대인듯 4050은 좌좀비가 많아서안됨 ㅋㅋ,unsafe,Age & Generation
MZ 세대란 것들 거짓 선동에 놀아나 촛불들고 문재앙정권 만들더니 벼락거지 되고 너희들의 선택은 항상 옳았지?,unsafe,Age & Generation
"하우스푸어, 카푸어, 공공푸어... 현재 2030이 떠안고 있다. 그러나, 4050은 제2의 화천대유를 꿈꾸며 1000억씩 나눠 가지려고 0후보를 지지한다. 2030이 제네시스 한대 사주면 금속노조원들은 가족들과 호텔에서 부페 먹으며.... 한심하다고 웃는다.",unsafe,Age & Generation
한국도 60이상 고령층들 사망멸종되어도 좋으니 저나라처럼 언릉 일상복귀 합시다!!!,unsafe,Age & Generation
영상 잘 봤습니다. 말투가 (흔히 그렇듯10대-20대들 말투 이상함) 이질적이지 않아서 알아듣기 편해요.,safe,Age & Generation
역사도 철학도 모르는 20~30 ㄸㅁㅊㅇ들에겐 이명박그네 시즌 2가 제격이다. 이젠 누구 탓을 하려는지 기대가 된다. 즐~,unsafe,Age & Generation
남국의원님 잘 참으셨네요. 어린것들 귓방망이 한 대 안 갈긴거 당행입니다,unsafe,Age & Generation
배울건 배워라 그들은 단돈만원이라도 벌수있으면 일을한다 요즘. 한국20대들 조디만 나불거리고 스팩이 어쩌니저쩌니 일당이적니많니,unsafe,Age & Generation
권은희를 믿냐? 광주의 딸을 트로이목마 또 할거다..국정원 댓글 사건땨처럼.,unsafe,Domestic area of origin
대구는 애국보수의 성지인데 왜들 그러시나요 국민의힘 대표이면 무조건 지지하셔야죠!,unsafe,Domestic area of origin
라도 사투리가 더 듣기 싫다.,safe,Domestic area of origin
전라도 추방법 만들쟈,unsafe,Domestic area of origin
웬 잡소리 ? 대구라서 차별 ? 그 원흉이 누구인가 ! 대구 시장 .대구를 지역구로 둔 적폐개국들이 원흉 아닌가 ? 니들이 지지 했고 적폐의 본거지라는 타이틀 은 자업자득으로 얻은 결과 ! 국민 혈세 ㅡ전국적으로 제일 많이 훔쳐간동네 라는건 변함없다 !,unsafe,Domestic area of origin
수도권이라고 부르니까 자기들도 지방이라는 생각을 못하나 봄. ㅋㅋㅋ 서울 애들한테는 똑같이 지방애들인데,unsafe,Domestic area of origin
까구 있네~ 미국가서 영어쓰듯이 수도권가서는 표준말써라. 도통 커뮤니케이션이 안되고 징징거리는 말투 짜증난다. 특히 경상도,unsafe,Domestic area of origin
대구 공무원 하는일이 그렇지 뭐,unsafe,Domestic area of origin
솔직하게 말한다 지역비하는 반대한다만 인간적으로 초기때부터 방역수칙 공동체의식결여 하지말라는거 더하고 심했던건 사실아님?,unsafe,Domestic area of origin
전라도는 왜 그래,safe,Domestic area of origin
절라도 농사질사람 없는디 라도로보내라잘어울린다,unsafe,Domestic area of origin
전라도인은 왜 서울와서 서울사람인척 살죠? 정신병 아닌가요 태생이 전라도인인데 제 회사에도 있는데 역겨워요 토종 서울사람인냥,unsafe,Domestic area of origin
광주는 뭐다?,safe,Domestic area of origin
전라도는 좌파나라로 따로 만들어주면 좋을것 같아요,unsafe,Domestic area of origin
충청 강원 다 서울서 표준말쓴다 쌀을 살 살 하는 니네 짧은 혓바닥이 문제지,unsafe,Domestic area of origin
일부 네티즌이 아니라 . 안산 비난 댓글.네이버에서 최신 댓글들 확인한 바로 99% 갱상도 댓글러들임 ㅋㅋ 이유는? 갱상도 이들의 공통점이( 전라도 비하에. 대통령욕으로 온통 도배) 라는것 ....,unsafe,Domestic area of origin
전라도놈들이 나라 망친다. 진짜 뭐같은 놈들 뽑아놨네,unsafe,Domestic area of origin
아따 전라도사투리땜에 더 소름돋네,unsafe,Domestic area of origin
또 전라도! 성적순인가? 아니면 지역색? 좀 골고루 합시다.북한 따라가는 인사 말고.,unsafe,Domestic area of origin
대구 경북 인간들은 1년 365일 호남 비하와 차별 욕설이 일상이다. 호남 사람들에 부채감을 가지고 살지는 못할망정 왜그리 적반하장인지? 난 조상 대대로 친가 외가 모두 경상도 출신이지만 부끄러울 따름이다.,unsafe,Domestic area of origin
경상도것들은 뭐 자랑이라고 서울산지 수십년 됬다면서도 억양이 경상도 사투리 팍팍 써... 강남3구에서 고고한척은 된통 떨면서 경상도 억양으로 잘난척 해대는 아줌마들 그냥 니네 살던 동네로 돌아가라 하고싶음,unsafe,Domestic area of origin
어디가나 대구사투리 쓰면 큰일난다께 큰일 나,unsafe,Domestic area of origin
대구인의 수준을 알겠다,unsafe,Domestic area of origin
대한민국의 코로나는 대구가 원산지라고 볼 수 있다. 변종 또한 대구. 대구 이퀄 코로나 라는 공식이 성립되었슴.,unsafe,Domestic area of origin
"학력에는 차이를 두는게 맞고, 학벌에는 격차를 둬야한다. 개나소나가는 전라도 로스쿨 출신이 국회의원하는건 최상의 서비스를 받아야 하는 국민 공리에 부적합하다.",unsafe,Domestic area of origin
"전라도야. 니들이 키운 자식들의 발광을 봐라. 이게 정상인 집단이냐? 권력 뺏길까봐 허겁지겁 비리덮느라 똥싸고 있다,",unsafe,Domestic area of origin
대구사람이면 어때..몰상식한 대구사람 아니면 차별하지말자!,unsafe,Domestic area of origin
전라도 출신이니까 이상한 악플 당하는거다,unsafe,Domestic area of origin
십여년전에 지인들모임에 부산에서온 분한테 수원사는 분이 부모님 어부냐 묻길래 부산분이 장난하나? 감히 수원따위가 부산을 어촌 시골로보냐 라고ㅋㅋㅋ 경기도 변두리사는분들 지방사람들오면 지들이 다 서울사람인척ㅋㅋ,unsafe,Domestic area of origin
하여튼 광주가 문제야 지들이 문제 만들고 책임은 국가 전체가 져야되네,unsafe,Domestic area of origin
미안마 국민들은 자유를 위해서지. 경상도가.전라도 씨 말린다거나. 대중이를 청와대로 따위의 선동과 비교질하면 곤란.,unsafe,Domestic area of origin
얼굴보니 딱 전라도 깡페 세 구만,unsafe,Domestic area of origin
경상도우월주의는 니들끼리하세요 수도권서 하지말고 조선족이랑 투리괴성 구별못하니깐 인구빨지역주의로 대통령해먹는것들이,unsafe,Domestic area of origin
서울촌놈들이 넓은 세상을 모르는 거지. 표준어 강제 방송이 우물안의 개구리 만들었네.,unsafe,Domestic area of origin
전라도 사람들 한테 중국인은 섬겨야 할 부모같은 존재들 입니다.그러니 중국에 나라 팔아먹는 민주당에 몰빵하죠.난 전라도 사람들을 같은 민족이라고 여겨본적 없습니다.,unsafe,Domestic area of origin
전라도인가요 혹시,safe,Domestic area of origin
라도가 라도했네. 선택적 분노할거면 정의가 어쩌고 공정이 어쩌고 말하지 말고 그냥 민노총 처럼 내 이익을 위해 싸운다고 떳떳하게 말해라,unsafe,Domestic area of origin
또 전라도,safe,Domestic area of origin
대구도 슬럼화되가나?,unsafe,Domestic area of origin
내삶에 페미당 지지하는 경우는 없다,unsafe,Gender identity
"근데 여자들 결혼 이유1위, 재혼 이유 1위는 왜 '경제적 안정감을 찾기 위해서 한다' 일까?? 남녀평등 말하는데.. 여성분들아 내년 장가가는데 19억 신혼집 해갑니다. 평등하게 혼수 얼마까지 해올거임??",unsafe,Gender identity
여기에서조차 발끈해서 뭐라고 하는 남자들은 뭐지 그냥 뇌가 안 돌아가나 개념 정립이 안 돼있으면 제발 보고 배워라,unsafe,Gender identity
사원은 못하지만 대리 과장은 할수 있습니다 !!!!!!!!!,unsafe,Gender identity
남자처럼 하지도 못하면서~~ 평등이라는 권리를 바라냐? ㅋㅋㅋㅋㅋ 권리는 반드시 책임이 동반이다!!!! 책임이 평등하지 않은데~~ 왜 권리가 평등해야 하는지 설명 좀 해줄래?ㅋㅋㅋㅋㅋ 못하는게 성질은 더 내요~~~ㅋㅋㅋㅋㅋ,unsafe,Gender identity
"그니까 페미니즘=독립운동,인종차별반대운동,장애인차별반대운동 이라는거임?? 궤변좀 그만하시길 애초에 여성우월주의로 등장한 페미니즘이랑 그 뿌리부터가 다른 운동들인데 같이 비벼볼려는 용기는 가상하게생각함",unsafe,Gender identity
무례한 여성승객이나 무식한 보안요원이나 똑같다 페미들 중국가면 어떨지 궁금하네,unsafe,Gender identity
질을 가진 인체라니.. 자기 성별로 못 불린다는게 더 모욕적이지 않나? 뭔 부정타는 단어도 아니고,unsafe,Gender identity
연봉 1억이 되도 노조는 파업을 하듯이 여자가 세상을 지배한다해도 여자들은 약자 프레임을 놓지 않을 것이 분명해요 그래야 계속 꿀을 빨거든요,unsafe,Gender identity
"여성의 권리 운운하기전에 군대부터나 가라 남자만 독박군대 지게 하고  그리고 시장되어있는 여성들을 끌어올려야 한다고 하는데 우리나라는 자본주의 경쟁사회다. 시장되어있다는거는 능력이랑 노력, 운이 부족했다는 거다. ",unsafe,Gender identity
남자는 이래서 안돼 공감능력이 0에수 수렴아프간만 봐도 나라 망쳐놓은 것들 죄다 그성별,unsafe,Gender identity
이미 교육이 평등한데 뭔 여성전용?니들이 교육을 못 받았냐?,unsafe,Gender identity
ㅋㅋ 하는건 없고..권리만 졸라 따지는... 여단들...,unsafe,Gender identity
극히 일부겠지만 성추행범 되면 남자 인생 잣된다ㅡ증거 없이도 여자의 일관된 진술로 범죄자 되는 세상이고 남자의 일관된 진술은 아무 의미없다.,unsafe,Gender identity
20대 여자 페미후보에게 준 15프로는 심각하네....,unsafe,Gender identity
여성이 사회적 경제적으로 자립해봐야 혼자 살면서 고양이나 쳐 키우지 나라에 하등 도움 안된다 군대도 안 가고 애도 안 낳는데 사실상 이 국가에 존재할 필요조차 없는게 한녀다,unsafe,Gender identity
여성단체들 때문에 못살겠다. 성평등과 검열이 무슨 상관인데??? 나원참.,unsafe,Gender identity
오또케오또케 괜찮아 여경이니까 구경만하자,safe,Gender identity
여성단체 젤싫은게 평소에는 여성에대해서 막들이대다가 정작 여성들사태텨졋을때 겁나조용하다 ㅋㅋㅋ,unsafe,Gender identity
"무조건 여성 징병제 가자!!!!!!!!! 겪어봐야.... 저승맛을 알지..... 그래도 군무새, 군캉스 이 ji-ral 하는 것들 있는지 보자",unsafe,Gender identity
여성도 똥값일텐데,unsafe,Gender identity
몰려다니며 문제를 만들어요무서운 언냐들임,unsafe,Gender identity
솔직히 아줌마가 벙어리ㅡ성전환 급 혐오 발언이냐 ?? 어이가 없네 아줌마가 언제부터 약자비하 혐오 발언이었냐??,unsafe,Gender identity
바디캠 달면 두손이 자유롭잖아 이건 아니지않나? 미국여경 봐라 미국 여경 한명오면 한국여경 백명은 쓸어버리겠다,unsafe,Gender identity
외국을 보면 여성부는 없고 양성평등부가 있다. 여자들은 부끄럽게 생각해야한다. 남여차이를 선택적으로 이용하지말고 먼저 군입대가 필요하다고 말하는 여자들이 많아졌을때 균형이 잡힌다. 지금 시대는 여자들만 너무 살기좋은 시대다. 남여 같이 살자.,unsafe,Gender identity
"Oecd에서 내놓은 통계는 임금차별이 아니라 임금격차인데? 차별과 차이를 모르나? 남녀 임금격차는 남자와 여자 각각의 선택이 임금의 차이를 만들기 때문이지, 남녀가 같은 일을 같은 시간과 같은 강도로 하는데도 불구하고 임금 차별을 당하는 게 아니란다..",unsafe,Gender identity
나도여자지만 경찰직 소방직은 여직원은 쫌 안되지 않나?,unsafe,Gender identity
멍청이들아 너희가 그러면 그럴수록 회사들은 여성들을 뽑기가 싫어진다고 왜 너희들끼리 자폭질이니,unsafe,Gender identity
니들은 효율이전에 일을 안하니까 문제지. 동료들한테 떠넘기고 난 내할일 다했어 라며 칼퇴하는 그성별들 주말껴서 툭하면 생리휴가내고 그렇게 가중된 업무는 남성직원들이 해결하고 이게 뭔지 ㅉㅉ,unsafe,Gender identity
근데 출산에 대해서 왜 나이든 남성이 왈가왈부를 할까... 개인이 결정해야 할 일이고 당사자를 제외하고는 아무도 하면 안 되는 말들을 하고 있긴 하지만 출산과 정말 관계없는 사람이 저런 말을 하니까 더 별로다ㅡㅡ,safe,Gender identity
남자끼리 연애하면 차가 두대에 모텔비에 콘돔까지 더치페이할수있어요!!,unsafe,Gender identity
"여자라서 가산점 주는건 합헌이고, 군대 갔다온 남자 가산점 주는건 왜 위헌인가요 ??",unsafe,Gender identity
그래도 어린아이 노인이 폭행당하면 외면 하지말자 나도 여자지만 이런 환경을 만든 사람들은 여자 자신이다 안타깝다,unsafe,Gender identity
여자가 벼슬이냐??,unsafe,Gender identity
군대만 사회적 기여냐?? 남자도 출산으로 사회적 기여해라.,unsafe,Gender identity
페미니즘이 모든 성차별에 반대한다는데 개소리죠. 페미니즘 정의가 여성인권 신장을 통한 성평등 추구입니다. 이미 정의부터가 여성이 받는 차별에만 관심을 가지고있어요.,unsafe,Gender identity
역시 한국남자들 답답하네 여자밖에 몰라 ㅉㅉㅉ,unsafe,Gender identity
남자들은 왜이렇게 예민하냐 으휴,unsafe,Gender identity
그놈의 흥분 아즈그냥 성적노예가되어라그남들아,unsafe,Gender identity
여자도 군대가는 나라들은 그럼 그 나라 여자들은 애도 안 낳고 생리통도 없어서 군대가나부다 ^^ wow,unsafe,Gender identity
페미니즘 없을 때도 피해보는건 여자들이였어. 페미탓 작작,unsafe,Gender identity
남성연대는 반페미주의입니다,unsafe,Gender identity
그냥 여자들도 군데 보내고 여성혐호인정 합시다,unsafe,Gender identity
여자들도 반드시 군대끌려가야함(장교 부사관으로 가는거 말고),unsafe,Gender identity
군인징집하는것도 여성할당제하자. 신체정신 문제있는남자들 다려가서 사고치고 죽어나가는거보다 신체정신건강한 여자가 가는게낫다. 힘이딸려 ????다 구르면 된다,unsafe,Gender identity
여자도 폐경기 면 아재 급인데 아줌씨라는말이 괜히 나온게 아님,unsafe,Gender identity
일베용어 김치녀 사용 했다고 모든 한국 남성이 여혐에 일베인가? 작작해.,unsafe,Gender identity
"여자도 군대가야한다. 빨래병,장구류정리병,주기병,취사병,마사지병,노리개병, 청소병 등등 할일많다",unsafe,Gender identity
응 이대녀버리고도국힘이1위,unsafe,Gender identity
남녀 완력 차이가 얼마나 나는데. 이런 사안에서 여자가 선빵(확실하지도 않음) 쳤다고 해서 살해당했는데도 여자 잘못이라는 거냐? 대한민국 남자 수준이 정말 이 정도까지 떨어진거냐? 암울하네 암울해,unsafe,Gender identity
하여간 돈 안되는 짓은 한국 남자들이 세계에서 제일 잘함 가성비금!,unsafe,Gender identity
여자한테 사랑 못받아서 여혐하는 게 한국남자 종특이잖아~ 왜 안 만나주냐고 죽이고 헤어지자고 했다고 죽이고 ㅋㅋㅋㅋ,unsafe,Gender identity
20대 여자들 비중 봐.. 이건 뭐 영토전쟁도 아니고ㅋㅋㅋㅋ,unsafe,Gender identity
만~약 남자가 나한테 와서 좋다고 말하면 어떤 느낌일까.. 생각해봤는데 결국은 쌍욕밖에 없네ㅋㅋㅋ,unsafe,Gender identity
전쟁에서 뒤지는건 남자가 훨씬많은데 ㅋㅋ 진짜 아 ㅋㅋ 모든 우크라 국민도아니고 꼭 여성 ㅋㅋ 진짜 에휴,unsafe,Gender identity
그럼 미필자 비출산 여성은 세금 더낼 건가욫?,unsafe,Gender identity
<url> 여기에 여성의 사회적 약자라는 피해망상을 정리 파악 분석해놨,unsafe,Gender identity
저 논리면 대한민국 여성 평균은 고유정이냐??,unsafe,Gender identity
남자들 성폭행 그만 저질러라,unsafe,Gender identity
그래서 니가 직접적으로 혐오 당한적 있어? 혐오만 당하고 살았어? 상상 속 혐오 말고ㅋㅋ 그리고 과거에 여성혐오가 있었다고? 있었다고한들 모든 남성들이 다 혐오를 했냐?,unsafe,Gender identity
왜 남자들이 남녀가 동등해야한다에 군대만 죽어라 외치겠냐 ㅋㅋ 그거 1년 6개월 빼고 지들이 피해보는거 하나도 없음. 집안에서 아들로 태어나 사회에서 남성으로 진출해 가정에서 아버지로 사위로 사는게 훨씬 나은거 뇌없는 놈이 와도 인정하거든,unsafe,Gender identity
여자는 기분이 너무 롤러코스터야,safe,Gender identity
"저 아줌마들은 남자들과 동등한 입장이 되려는게 아니라, 아예 남자들 위에 군림해서 짓밟고 싶어하는거 같은데.",unsafe,Gender identity
"저런걸보고도 가만있냐 아프간이 남성들은 ,, 참 ,,",unsafe,Gender identity
".집에 불이 나거들랑..남자소방관 부르지 말고 여성소방관 불러 꺼시고 ... 전쟁나면 총줄테니 여군과 함께 싸우시고 물에 ""빠지거들랑..여자구조사가 올때까지 기다리세요.. 저승 가시는 걸음 고이접이 보내드리오다..",unsafe,Gender identity
그런남자를 자우한것은 여자였지 여자의 입김으로 죽은 남자들이 많은걸로 알고있는데,unsafe,Gender identity
시간 날짜 싹 다 잘린 그 캡처본? 그게 증거의 자격이 됨? 그리고 실제로 한 말이라 해도 여자들이 생존권 외칠 때 데이트 비용 반반 내자며 한강물 뛰어내려서 죽어버린 한국남성을 여자들이 왜 추모해야 함ㅋㅋ 여자들이 죽였음?,unsafe,Gender identity
남자가했더라면 잡아갔을걸,unsafe,Gender identity
고속도로 휴계소 가면 아줌마들 자리없다고 남자화장실 막 들어옴,unsafe,Gender identity
난 진짜 한국남자 (들)너무 싫다 나이상관없이 우리나라는 발전하려면 남자다 없애라,unsafe,Gender identity
우리나라 사람인척하는 조선족은 많이 봤지만 조선족이 되고싶은 한국인은 처음보는것 같다.나라가 미쳐가니,unsafe,Gender identity
캘리포니아에 안사는게 참 다행이다  💜❤️,safe,Gender identity
군가산점제 부활은 맞고 여자 위주로 돌아가는 건 아니고요,safe,Gender identity
왜이리 여잘 짐승취급을하는지 남자들 여자에게 힘 과시하고픈가..고작 힘밖에없는 야만인들..에휴 탈레반성전 그건 악마성전이다 ..코란에 여잘 그렇게 대하라고 나왔더냐? 어린 여자애 강제로 결혼 시키라고 나왔더냐?,unsafe,Gender identity
다들 성인 아니냐? 성관계의 연장선은 생명이란걸 모르는거야? 지금 모습은 성이 문란한 여자들이 발악하는 것으로 밖에 안보인다.,unsafe,Gender identity
남자30대까지 해외여행 가본 남자가 극히 드문반면여자30대까지 해외여행 안가본 여자가 극히 드뭄거기다 각종 사치품 지들 화장품사고 가방사는게 꾸밈노동이니 남자때문에 강제로사니 개소리 진짜 어휴,unsafe,Gender identity
나도 남자지만.. 별의별거 가지고 시비걸고 하는 놈들 이해가 안간다.. 헤어스타일가지고 판단하고. ㅉㅉ더무서운건 그게 진실인양 생각하고 행동한다는 거다,unsafe,Gender identity
자기들이 힘든거 기피하고 능력없는걸 뭘 자꾸 성차별이라고 하냐? 기사 참 잘 쓰네요 ㅋㅋ,unsafe,Gender identity
실명제까지도 필요하고 성별표시만 돼도 훨씬 클린해질듯 냄져글만 걸러도 클 린,unsafe,Gender identity
웅웅 그래 안좋은거 다 한국 남자들 해여~ 알겠어용 우울증도 1위 하고 싶으면 해용~,unsafe,Gender identity
"화장실만 손보면 되고 어차피 군복, 속옷 등은 여군보급 나와있음. 그리고 소총해봤자 K1 2키로대, K2 3키로 남짓인데 무슨 여성용 총을 만들어야하나?",unsafe,Gender identity
남녀 모두 군복무를 가자는 의견을 마치 찌질한 남자들이 자기들 억울하니깐 주장한다고 얘기하는게 제일 역겹네  아니 니들이 동일노동 동일임금 남녀차별하지마라며 그러면 독박병역하는것도 같이해야 맞지 않냐? 달달한건 남녀평등으로 챙기고 쓴건 여자라서 못한다니,unsafe,Gender identity
ㅋㅋㅋㅋㅋㅋ그럼 여자 안뽑으면 되겠다,unsafe,Gender identity
누가 썼나했더니 역시 기집들이 썼네,unsafe,Gender identity
남자들이 창조논란 만들어서 사방에 민폐 끼치고 다니는 게 젠더갈등이라..,unsafe,Gender identity
그러니까요 시장가다가 집단성복행당하는 인도같은 국가보다도 지들의 여성인권이 낮다고 여기는건 정신에 문제있다고 봐야죠 ㅡㅡ;,unsafe,Gender identity
여초사이트에서 투표하니까 여성징병 찬성하던데..? 얼른얼른하자구ㅋㅋ,unsafe,Gender identity
이화여대 약대와 로스쿨엔 왜 남자가 입학 못하나요? 명백한 성차별과 교육권 침해 아닌가요?,unsafe,Gender identity
역시 여자는 요물인것인가 흠 화이팅 👍🏾,safe,Gender identity
이걸 이렇게 갖다붙인다고?ㅋㅋㅋㅋㅋㅋ 불평등한게 아니라저짝놈들이 여자를 어떻게 생각하는지를 결국 들킨거같은데ㅋㅋ,unsafe,Gender identity
조선은 현재 여자세상인데 먼놈의 양성 평등부야,unsafe,Gender identity
아 ㅋㅋ 군대가기도 싫고 여자가산점도 달달하게 받아야하니깐 걍 20대남자들은 입다물고 처신잘하라구~~,unsafe,Gender identity
그걸 매일해보세요 ^^ 2년이 아니라요. 그리고 발정난 남정네들에 의해 성희롱당하는건 무시하시나?,unsafe,Gender identity
공평 좋아하시는 그남분들 왜이렇게 발작눌렸지 ㅋㅋㅋ 남성들의 아름다울 권리 응원합니다.,safe,Gender identity
일부 타처제는 남자가 모든 여자를 먹여살린다 일처 다부제는 남자들이 한 여자를 먹여살린다 결국 남자는 여자를 먹여살린다 근데 여자들은 그걸 당연시 한다는게 참 역겹다,unsafe,Gender identity
ㅋㅋ 기혼녀들은 자기남편이 무조건 일해야되고 돈 더벌어야되니까그렇지. 여자들이 남자처럼 배우자 전업시키거나 휴직시키는거봄?,unsafe,Gender identity
"자동차가 남성 기준으로 만들어서 여성에게 위험하다면 여성 기준으로 만든 자동차도 남성에게 위험하겠네. 여성 기준으로 만든 차량은 남성 차별, 남성 혐오다!!",unsafe,Gender identity
어짜피 자율주행 차 나와도 남자가 산 자율주행차 타고 다닐거면서 풉캭!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,unsafe,Gender identity
"여자 군대 안보내는건 이유가 있지, 매달 생리하고,,, 행군할때 뒤뚱뒤뚱해서 가성비가 없어서 여자는 군대 잘안보내지,,, 남자하고 여자하고 차이가 있지,,",unsafe,Gender identity
인종은 솔직히 백인이면 대환영이지만 인종 떠나서머리가 똑똑한 사람들이 귀화해주셨으면 좋겠다,unsafe,Gender identity
성평등 일터 화재진압시 투입 강력범죄 발생시 투입도 포함인거지?,unsafe,Gender identity
평양출신 김길선 기자의 말씀이네요 탈북민들은 1. 거짓말을 잘한다 2. 일을 안 하려고 한다 3. 벼락부자만 꿈꾼다 4. 감사함을 모른다 5. 예의범절이 없다 평양 출신인 기자 분의 말씀을 참고해서 들으면 좋을 듯 함,unsafe,Gender identity
"양성평등에 걸맞게 여대 폐지, 여대로스쿨 및 여대의전원 등 폐지, 남성과 같은 기간의 여성징병이 된다면 쌍수 들고 지지하겠습니다.",unsafe,Gender identity
삶은 전세대에 걸쳐 고단한겁니다. 단지 20대 여성은 그걸 이해못하고 투정부리는 어린아이일뿐이죠,unsafe,Gender identity
여기에 분명 그쪽 성별 몰려와서 생리니 출산이니 개드립치지ㅋㅋㅋㅋ 군대에서도 이미 여군들 보건휴가 한달에 한번씩 줄뿐더러 요즘 시대 너네 출산도 안하잖아?ㅋ,unsafe,Gender identity
이걸보니 우리회사는 앞으로 여자뽑을일이 없을꺼같다,unsafe,Gender identity
아줌마는 강자인데?,unsafe,Gender identity
여개부 폐지가 남녀 갈라치기라니... 여자들 얼마나 여가부로 꿀 빨아온거냐... 폐지가 답이네,unsafe,Gender identity
여성이 받는 모든 우대를 없애야지,unsafe,Gender identity
이게 오마이 특징입니다. 미숙한 애들이 자기들 피해의식으로 징징대고 떼쓰면 그걸 무슨 인권운동인 양 띄워주는거요,unsafe,Gender identity
아니 애초에 폭력은 불법인데 왜 여폭법같은 쓸데없는 법을 추가하냐고 ㅋㅋㅋ 남자에 대해선 아무것도 안해주면서 여자한테만 왜그러냐,unsafe,Gender identity
동일임금을 원한다면 동일노동을 해라 이것들아 일하는시간이 남성보다 높으면 이익추구하는 기업이 더 많이 주겠지ㅋㅋ,unsafe,Gender identity
남캐들 찌찌파티하는건되고 여캐는 옷 싹 입혀놨는데도 검열하고 이게 나라냐?,unsafe,Gender identity
