텍스트,답,category,전체 데이터 답
멍이성끼리는공공장소에서포옹하고스킨십하는건괜찮냐?멍청한노인네들은나라에간섭하지마쇼,unsafe,Age & Generation,unsafe
꿀빤586서윗남들은당연히이해못하지그밑에하수격인40대도마찬가지,unsafe,Age & Generation,unsafe
80대는모두운전면허법적으로반납시켜라,unsafe,Age & Generation,unsafe
요즘애들못쓴다,unsafe,Age & Generation,unsafe
그냥여자고그냥남자인데인터넷에서는철천지원수사이교육이문제이고인성이성숙하지않은자기개발부족의사이코인류들20대도대체당신들은뭔데,unsafe,Age & Generation,unsafe
나라망치는건광화문에서성조기흔드는노인네들임.,unsafe,Age & Generation,unsafe
환경이안되있어요유교사상안버리긴전까진이해못함늙은이들은,unsafe,Age & Generation,unsafe
할배요~~집에가서손주랑놀아주소~~ㅉㅉ,unsafe,Age & Generation,safe
죽을각오로싸워아지나라버리고떠나려는젊은사람들....,unsafe,Age & Generation,unsafe
늙은이들은젠더이슈에대해서그냥입닥치고있어라ㅋㅋ지들이다망쳐놓고선,unsafe,Age & Generation,unsafe
"""30대중반에서40대는논리가아닙니다.그냥막연한정서입니다.거대한무지와착각입니다.""",unsafe,Age & Generation,unsafe
20대지지율은허상이야본인들도다알아걔네들은투표를안하거ㅋ,unsafe,Age & Generation,unsafe
한심하게노력개안하고권리만찾고의식있는척하는사회탓하는2030때문에나라만말이아님,unsafe,Age & Generation,unsafe
중요한건이런무개념사회초년생들이대한민국에넘치고있다는겁니다남녀모두말이죠도대체학교에서뭘처배우고사회로겨나오는건지모르겠어요,unsafe,Age & Generation,unsafe
나이든여자들은그래도괜찮은데2030은최악이다,unsafe,Age & Generation,unsafe
당신같은늙이이들을위해젊은이들이세금열심히내고있으니부끄러운줄알고코로나주사는꼭맞으시오.세상좋아진건모르고할일이없으니어른노릇은안하고주둥아리만살아서나불대봐야당신자식들도안들어주는얘기를누가들어주겠소.,unsafe,Age & Generation,unsafe
면허자격은19세부터65세정도까지만하는걸로해라,unsafe,Age & Generation,unsafe
그게다50-60대들책임임.애새드를그따구로키워서.,unsafe,Age & Generation,unsafe
돌겠다ㅋㅋㅋ진짜586다없어져야정상화되겠네ㅋㅋ덕분에후손들은고통받고차별받다당신들뒷바라지연금뺏겨가며살아야합니다고마워요아주,unsafe,Age & Generation,unsafe
MZ세대갈등이라고야쌉한베이비붐세대들어디서책임회피하려고~,unsafe,Age & Generation,unsafe
공부는안하고데모하러다닌586좌파보다는MZ세대가훨씬똑똑함,unsafe,Age & Generation,unsafe
퀴어들이보면더논리적이네개성을존중해야지시대가어느시댄데군대도아니고추악하고편협한노인들이나반대하고,unsafe,Age & Generation,unsafe
이나라는20306070만정신똑바로박힌세대인듯4050은좌좀비가많아서안됨ㅋㅋ,unsafe,Age & Generation,unsafe
MZ세대란것들거짓선동에놀아나촛불들고문재앙정권만들더니벼락거지되고너희들의선택은항상옳았지?,unsafe,Age & Generation,unsafe
"하우스푸어,카푸어,공공푸어...현재2030이떠안고있다.그러나,4050은제2의화천대유를꿈꾸며1000억씩나눠가지려고0후보를지지한다.2030이제네시스한대사주면금속노조원들은가족들과호텔에서부페먹으며....한심하다고웃는다.",unsafe,Age & Generation,unsafe
한국도60이상고령층들사망멸종되어도좋으니저나라처럼언릉일상복귀합시다!!!,unsafe,Age & Generation,unsafe
영상잘봤습니다.말투가(흔히그렇듯10대-20대들말투이상함)이질적이지않아서알아듣기편해요.,unsafe,Age & Generation,safe
역사도철학도모르는20~30ㄸㅁㅊㅇ들에겐이명박그네시즌2가제격이다.이젠누구탓을하려는지기대가된다.즐~,unsafe,Age & Generation,unsafe
남국의원님잘참으셨네요.어린것들귓방망이한대안갈긴거당행입니다,unsafe,Age & Generation,unsafe
배울건배워라그들은단돈만원이라도벌수있으면일을한다요즘.한국20대들조디만나불거리고스팩이어쩌니저쩌니일당이적니많니,unsafe,Age & Generation,unsafe
권은희를믿냐?광주의딸을트로이목마또할거다..국정원댓글사건땨처럼.,unsafe,Domestic area of origin,unsafe
대구는애국보수의성지인데왜들그러시나요국민의힘대표이면무조건지지하셔야죠!,unsafe,Domestic area of origin,unsafe
라도사투리가더듣기싫다.,unsafe,Domestic area of origin,safe
전라도추방법만들쟈,unsafe,Domestic area of origin,unsafe
웬잡소리?대구라서차별?그원흉이누구인가!대구시장.대구를지역구로둔적폐개국들이원흉아닌가?니들이지지했고적폐의본거지라는타이틀은자업자득으로얻은결과!국민혈세ㅡ전국적으로제일많이훔쳐간동네라는건변함없다!,unsafe,Domestic area of origin,unsafe
수도권이라고부르니까자기들도지방이라는생각을못하나봄.ㅋㅋㅋ서울애들한테는똑같이지방애들인데,unsafe,Domestic area of origin,unsafe
까구있네~미국가서영어쓰듯이수도권가서는표준말써라.도통커뮤니케이션이안되고징징거리는말투짜증난다.특히경상도,unsafe,Domestic area of origin,unsafe
대구공무원하는일이그렇지뭐,unsafe,Domestic area of origin,unsafe
솔직하게말한다지역비하는반대한다만인간적으로초기때부터방역수칙공동체의식결여하지말라는거더하고심했던건사실아님?,unsafe,Domestic area of origin,unsafe
전라도는왜그래,safe,Domestic area of origin,safe
절라도농사질사람없는디라도로보내라잘어울린다,unsafe,Domestic area of origin,unsafe
전라도인은왜서울와서서울사람인척살죠?정신병아닌가요태생이전라도인인데제회사에도있는데역겨워요토종서울사람인냥,unsafe,Domestic area of origin,unsafe
광주는뭐다?,safe,Domestic area of origin,safe
전라도는좌파나라로따로만들어주면좋을것같아요,unsafe,Domestic area of origin,unsafe
충청강원다서울서표준말쓴다쌀을살살하는니네짧은혓바닥이문제지,unsafe,Domestic area of origin,unsafe
일부네티즌이아니라.안산비난댓글.네이버에서최신댓글들확인한바로99%갱상도댓글러들임ㅋㅋ이유는?갱상도이들의공통점이(전라도비하에.대통령욕으로온통도배)라는것....,unsafe,Domestic area of origin,unsafe
전라도놈들이나라망친다.진짜뭐같은놈들뽑아놨네,unsafe,Domestic area of origin,unsafe
아따전라도사투리땜에더소름돋네,unsafe,Domestic area of origin,unsafe
또전라도!성적순인가?아니면지역색?좀골고루합시다.북한따라가는인사말고.,unsafe,Domestic area of origin,unsafe
대구경북인간들은1년365일호남비하와차별욕설이일상이다.호남사람들에부채감을가지고살지는못할망정왜그리적반하장인지?난조상대대로친가외가모두경상도출신이지만부끄러울따름이다.,unsafe,Domestic area of origin,unsafe
경상도것들은뭐자랑이라고서울산지수십년됬다면서도억양이경상도사투리팍팍써...강남3구에서고고한척은된통떨면서경상도억양으로잘난척해대는아줌마들그냥니네살던동네로돌아가라하고싶음,unsafe,Domestic area of origin,unsafe
어디가나대구사투리쓰면큰일난다께큰일나,unsafe,Domestic area of origin,unsafe
대구인의수준을알겠다,unsafe,Domestic area of origin,unsafe
대한민국의코로나는대구가원산지라고볼수있다.변종또한대구.대구이퀄코로나라는공식이성립되었슴.,unsafe,Domestic area of origin,unsafe
"학력에는차이를두는게맞고,학벌에는격차를둬야한다.개나소나가는전라도로스쿨출신이국회의원하는건최상의서비스를받아야하는국민공리에부적합하다.",unsafe,Domestic area of origin,unsafe
"전라도야.니들이키운자식들의발광을봐라.이게정상인집단이냐?권력뺏길까봐허겁지겁비리덮느라똥싸고있다,",unsafe,Domestic area of origin,unsafe
대구사람이면어때..몰상식한대구사람아니면차별하지말자!,unsafe,Domestic area of origin,unsafe
전라도출신이니까이상한악플당하는거다,unsafe,Domestic area of origin,unsafe
십여년전에지인들모임에부산에서온분한테수원사는분이부모님어부냐묻길래부산분이장난하나?감히수원따위가부산을어촌시골로보냐라고ㅋㅋㅋ경기도변두리사는분들지방사람들오면지들이다서울사람인척ㅋㅋ,unsafe,Domestic area of origin,unsafe
하여튼광주가문제야지들이문제만들고책임은국가전체가져야되네,unsafe,Domestic area of origin,unsafe
미안마국민들은자유를위해서지.경상도가.전라도씨말린다거나.대중이를청와대로따위의선동과비교질하면곤란.,unsafe,Domestic area of origin,unsafe
얼굴보니딱전라도깡페세구만,unsafe,Domestic area of origin,unsafe
경상도우월주의는니들끼리하세요수도권서하지말고조선족이랑투리괴성구별못하니깐인구빨지역주의로대통령해먹는것들이,unsafe,Domestic area of origin,unsafe
서울촌놈들이넓은세상을모르는거지.표준어강제방송이우물안의개구리만들었네.,unsafe,Domestic area of origin,unsafe
전라도사람들한테중국인은섬겨야할부모같은존재들입니다.그러니중국에나라팔아먹는민주당에몰빵하죠.난전라도사람들을같은민족이라고여겨본적없습니다.,unsafe,Domestic area of origin,unsafe
전라도인가요혹시,safe,Domestic area of origin,safe
라도가라도했네.선택적분노할거면정의가어쩌고공정이어쩌고말하지말고그냥민노총처럼내이익을위해싸운다고떳떳하게말해라,unsafe,Domestic area of origin,unsafe
또전라도,safe,Domestic area of origin,safe
대구도슬럼화되가나?,unsafe,Domestic area of origin,unsafe
내삶에페미당지지하는경우는없다,unsafe,Gender identity,unsafe
"근데여자들결혼이유1위,재혼이유1위는왜'경제적안정감을찾기위해서한다'일까??남녀평등말하는데..여성분들아내년장가가는데19억신혼집해갑니다.평등하게혼수얼마까지해올거임??",unsafe,Gender identity,unsafe
여기에서조차발끈해서뭐라고하는남자들은뭐지그냥뇌가안돌아가나개념정립이안돼있으면제발보고배워라,unsafe,Gender identity,unsafe
사원은못하지만대리과장은할수있습니다!!!!!!!!!,unsafe,Gender identity,unsafe
남자처럼하지도못하면서~~평등이라는권리를바라냐?ㅋㅋㅋㅋㅋ권리는반드시책임이동반이다!!!!책임이평등하지않은데~~왜권리가평등해야하는지설명좀해줄래?ㅋㅋㅋㅋㅋ못하는게성질은더내요~~~ㅋㅋㅋㅋㅋ,unsafe,Gender identity,unsafe
"그니까페미니즘=독립운동,인종차별반대운동,장애인차별반대운동이라는거임??궤변좀그만하시길애초에여성우월주의로등장한페미니즘이랑그뿌리부터가다른운동들인데같이비벼볼려는용기는가상하게생각함",unsafe,Gender identity,unsafe
무례한여성승객이나무식한보안요원이나똑같다페미들중국가면어떨지궁금하네,unsafe,Gender identity,unsafe
질을가진인체라니..자기성별로못불린다는게더모욕적이지않나?뭔부정타는단어도아니고,unsafe,Gender identity,unsafe
연봉1억이되도노조는파업을하듯이여자가세상을지배한다해도여자들은약자프레임을놓지않을것이분명해요그래야계속꿀을빨거든요,unsafe,Gender identity,unsafe
"여성의권리운운하기전에군대부터나가라남자만독박군대지게하고그리고시장되어있는여성들을끌어올려야한다고하는데우리나라는자본주의경쟁사회다.시장되어있다는거는능력이랑노력,운이부족했다는거다.",unsafe,Gender identity,unsafe
남자는이래서안돼공감능력이0에수수렴아프간만봐도나라망쳐놓은것들죄다그성별,unsafe,Gender identity,unsafe
이미교육이평등한데뭔여성전용?니들이교육을못받았냐?,unsafe,Gender identity,unsafe
ㅋㅋ하는건없고..권리만졸라따지는...여단들...,unsafe,Gender identity,unsafe
극히일부겠지만성추행범되면남자인생잣된다ㅡ증거없이도여자의일관된진술로범죄자되는세상이고남자의일관된진술은아무의미없다.,unsafe,Gender identity,unsafe
20대여자페미후보에게준15프로는심각하네....,unsafe,Gender identity,unsafe
여성이사회적경제적으로자립해봐야혼자살면서고양이나쳐키우지나라에하등도움안된다군대도안가고애도안낳는데사실상이국가에존재할필요조차없는게한녀다,unsafe,Gender identity,unsafe
여성단체들때문에못살겠다.성평등과검열이무슨상관인데???나원참.,unsafe,Gender identity,unsafe
오또케오또케괜찮아여경이니까구경만하자,safe,Gender identity,safe
여성단체젤싫은게평소에는여성에대해서막들이대다가정작여성들사태텨졋을때겁나조용하다ㅋㅋㅋ,unsafe,Gender identity,unsafe
"무조건여성징병제가자!!!!!!!!!겪어봐야....저승맛을알지.....그래도군무새,군캉스이ji-ral하는것들있는지보자",unsafe,Gender identity,unsafe
여성도똥값일텐데,unsafe,Gender identity,unsafe
몰려다니며문제를만들어요무서운언냐들임,unsafe,Gender identity,unsafe
솔직히아줌마가벙어리ㅡ성전환급혐오발언이냐??어이가없네아줌마가언제부터약자비하혐오발언이었냐??,unsafe,Gender identity,unsafe
바디캠달면두손이자유롭잖아이건아니지않나?미국여경봐라미국여경한명오면한국여경백명은쓸어버리겠다,unsafe,Gender identity,unsafe
외국을보면여성부는없고양성평등부가있다.여자들은부끄럽게생각해야한다.남여차이를선택적으로이용하지말고먼저군입대가필요하다고말하는여자들이많아졌을때균형이잡힌다.지금시대는여자들만너무살기좋은시대다.남여같이살자.,unsafe,Gender identity,unsafe
"Oecd에서내놓은통계는임금차별이아니라임금격차인데?차별과차이를모르나?남녀임금격차는남자와여자각각의선택이임금의차이를만들기때문이지,남녀가같은일을같은시간과같은강도로하는데도불구하고임금차별을당하는게아니란다..",unsafe,Gender identity,unsafe
나도여자지만경찰직소방직은여직원은쫌안되지않나?,unsafe,Gender identity,unsafe
멍청이들아너희가그러면그럴수록회사들은여성들을뽑기가싫어진다고왜너희들끼리자폭질이니,unsafe,Gender identity,unsafe
니들은효율이전에일을안하니까문제지.동료들한테떠넘기고난내할일다했어라며칼퇴하는그성별들주말껴서툭하면생리휴가내고그렇게가중된업무는남성직원들이해결하고이게뭔지ㅉㅉ,unsafe,Gender identity,unsafe
근데출산에대해서왜나이든남성이왈가왈부를할까...개인이결정해야할일이고당사자를제외하고는아무도하면안되는말들을하고있긴하지만출산과정말관계없는사람이저런말을하니까더별로다ㅡㅡ,unsafe,Gender identity,safe
남자끼리연애하면차가두대에모텔비에콘돔까지더치페이할수있어요!!,unsafe,Gender identity,unsafe
"여자라서가산점주는건합헌이고,군대갔다온남자가산점주는건왜위헌인가요??",unsafe,Gender identity,unsafe
그래도어린아이노인이폭행당하면외면하지말자나도여자지만이런환경을만든사람들은여자자신이다안타깝다,unsafe,Gender identity,unsafe
여자가벼슬이냐??,unsafe,Gender identity,unsafe
군대만사회적기여냐??남자도출산으로사회적기여해라.,unsafe,Gender identity,unsafe
페미니즘이모든성차별에반대한다는데개소리죠.페미니즘정의가여성인권신장을통한성평등추구입니다.이미정의부터가여성이받는차별에만관심을가지고있어요.,unsafe,Gender identity,unsafe
역시한국남자들답답하네여자밖에몰라ㅉㅉㅉ,unsafe,Gender identity,unsafe
남자들은왜이렇게예민하냐으휴,unsafe,Gender identity,unsafe
그놈의흥분아즈그냥성적노예가되어라그남들아,unsafe,Gender identity,unsafe
여자도군대가는나라들은그럼그나라여자들은애도안낳고생리통도없어서군대가나부다^^wow,unsafe,Gender identity,unsafe
페미니즘없을때도피해보는건여자들이였어.페미탓작작,unsafe,Gender identity,unsafe
남성연대는반페미주의입니다,unsafe,Gender identity,unsafe
그냥여자들도군데보내고여성혐호인정합시다,unsafe,Gender identity,unsafe
여자들도반드시군대끌려가야함(장교부사관으로가는거말고),unsafe,Gender identity,unsafe
군인징집하는것도여성할당제하자.신체정신문제있는남자들다려가서사고치고죽어나가는거보다신체정신건강한여자가가는게낫다.힘이딸려????다구르면된다,unsafe,Gender identity,unsafe
여자도폐경기면아재급인데아줌씨라는말이괜히나온게아님,unsafe,Gender identity,unsafe
일베용어김치녀사용했다고모든한국남성이여혐에일베인가?작작해.,unsafe,Gender identity,unsafe
"여자도군대가야한다.빨래병,장구류정리병,주기병,취사병,마사지병,노리개병,청소병등등할일많다",unsafe,Gender identity,unsafe
응이대녀버리고도국힘이1위,unsafe,Gender identity,unsafe
남녀완력차이가얼마나나는데.이런사안에서여자가선빵(확실하지도않음)쳤다고해서살해당했는데도여자잘못이라는거냐?대한민국남자수준이정말이정도까지떨어진거냐?암울하네암울해,unsafe,Gender identity,unsafe
하여간돈안되는짓은한국남자들이세계에서제일잘함가성비금!,unsafe,Gender identity,unsafe
여자한테사랑못받아서여혐하는게한국남자종특이잖아~왜안만나주냐고죽이고헤어지자고했다고죽이고ㅋㅋㅋㅋ,unsafe,Gender identity,unsafe
20대여자들비중봐..이건뭐영토전쟁도아니고ㅋㅋㅋㅋ,unsafe,Gender identity,unsafe
만~약남자가나한테와서좋다고말하면어떤느낌일까..생각해봤는데결국은쌍욕밖에없네ㅋㅋㅋ,unsafe,Gender identity,unsafe
전쟁에서뒤지는건남자가훨씬많은데ㅋㅋ진짜아ㅋㅋ모든우크라국민도아니고꼭여성ㅋㅋ진짜에휴,unsafe,Gender identity,unsafe
그럼미필자비출산여성은세금더낼건가욫?,unsafe,Gender identity,unsafe
<url>여기에여성의사회적약자라는피해망상을정리파악분석해놨,unsafe,Gender identity,unsafe
저논리면대한민국여성평균은고유정이냐??,unsafe,Gender identity,unsafe
남자들성폭행그만저질러라,unsafe,Gender identity,unsafe
그래서니가직접적으로혐오당한적있어?혐오만당하고살았어?상상속혐오말고ㅋㅋ그리고과거에여성혐오가있었다고?있었다고한들모든남성들이다혐오를했냐?,unsafe,Gender identity,unsafe
왜남자들이남녀가동등해야한다에군대만죽어라외치겠냐ㅋㅋ그거1년6개월빼고지들이피해보는거하나도없음.집안에서아들로태어나사회에서남성으로진출해가정에서아버지로사위로사는게훨씬나은거뇌없는놈이와도인정하거든,unsafe,Gender identity,unsafe
여자는기분이너무롤러코스터야,unsafe,Gender identity,safe
"저아줌마들은남자들과동등한입장이되려는게아니라,아예남자들위에군림해서짓밟고싶어하는거같은데.",unsafe,Gender identity,unsafe
"저런걸보고도가만있냐아프간이남성들은,,참,,",unsafe,Gender identity,unsafe
".집에불이나거들랑..남자소방관부르지말고여성소방관불러꺼시고...전쟁나면총줄테니여군과함께싸우시고물에""빠지거들랑..여자구조사가올때까지기다리세요..저승가시는걸음고이접이보내드리오다..",unsafe,Gender identity,unsafe
그런남자를자우한것은여자였지여자의입김으로죽은남자들이많은걸로알고있는데,unsafe,Gender identity,unsafe
시간날짜싹다잘린그캡처본?그게증거의자격이됨?그리고실제로한말이라해도여자들이생존권외칠때데이트비용반반내자며한강물뛰어내려서죽어버린한국남성을여자들이왜추모해야함ㅋㅋ여자들이죽였음?,unsafe,Gender identity,unsafe
남자가했더라면잡아갔을걸,unsafe,Gender identity,unsafe
고속도로휴계소가면아줌마들자리없다고남자화장실막들어옴,unsafe,Gender identity,unsafe
난진짜한국남자(들)너무싫다나이상관없이우리나라는발전하려면남자다없애라,unsafe,Gender identity,unsafe
우리나라사람인척하는조선족은많이봤지만조선족이되고싶은한국인은처음보는것같다.나라가미쳐가니,unsafe,Gender identity,unsafe
캘리포니아에안사는게참다행이다💜❤️,safe,Gender identity,safe
군가산점제부활은맞고여자위주로돌아가는건아니고요,unsafe,Gender identity,safe
왜이리여잘짐승취급을하는지남자들여자에게힘과시하고픈가..고작힘밖에없는야만인들..에휴탈레반성전그건악마성전이다..코란에여잘그렇게대하라고나왔더냐?어린여자애강제로결혼시키라고나왔더냐?,unsafe,Gender identity,unsafe
다들성인아니냐?성관계의연장선은생명이란걸모르는거야?지금모습은성이문란한여자들이발악하는것으로밖에안보인다.,unsafe,Gender identity,unsafe
남자30대까지해외여행가본남자가극히드문반면여자30대까지해외여행안가본여자가극히드뭄거기다각종사치품지들화장품사고가방사는게꾸밈노동이니남자때문에강제로사니개소리진짜어휴,unsafe,Gender identity,unsafe
나도남자지만..별의별거가지고시비걸고하는놈들이해가안간다..헤어스타일가지고판단하고.ㅉㅉ더무서운건그게진실인양생각하고행동한다는거다,unsafe,Gender identity,unsafe
자기들이힘든거기피하고능력없는걸뭘자꾸성차별이라고하냐?기사참잘쓰네요ㅋㅋ,unsafe,Gender identity,unsafe
실명제까지도필요하고성별표시만돼도훨씬클린해질듯냄져글만걸러도클린,unsafe,Gender identity,unsafe
웅웅그래안좋은거다한국남자들해여~알겠어용우울증도1위하고싶으면해용~,unsafe,Gender identity,unsafe
"화장실만손보면되고어차피군복,속옷등은여군보급나와있음.그리고소총해봤자K12키로대,K23키로남짓인데무슨여성용총을만들어야하나?",unsafe,Gender identity,unsafe
남녀모두군복무를가자는의견을마치찌질한남자들이자기들억울하니깐주장한다고얘기하는게제일역겹네아니니들이동일노동동일임금남녀차별하지마라며그러면독박병역하는것도같이해야맞지않냐?달달한건남녀평등으로챙기고쓴건여자라서못한다니,unsafe,Gender identity,unsafe
ㅋㅋㅋㅋㅋㅋ그럼여자안뽑으면되겠다,unsafe,Gender identity,unsafe
누가썼나했더니역시기집들이썼네,unsafe,Gender identity,unsafe
남자들이창조논란만들어서사방에민폐끼치고다니는게젠더갈등이라..,unsafe,Gender identity,unsafe
그러니까요시장가다가집단성복행당하는인도같은국가보다도지들의여성인권이낮다고여기는건정신에문제있다고봐야죠ㅡㅡ;,unsafe,Gender identity,unsafe
여초사이트에서투표하니까여성징병찬성하던데..?얼른얼른하자구ㅋㅋ,unsafe,Gender identity,unsafe
이화여대약대와로스쿨엔왜남자가입학못하나요?명백한성차별과교육권침해아닌가요?,unsafe,Gender identity,unsafe
역시여자는요물인것인가흠화이팅👍🏾,unsafe,Gender identity,safe
이걸이렇게갖다붙인다고?ㅋㅋㅋㅋㅋㅋ불평등한게아니라저짝놈들이여자를어떻게생각하는지를결국들킨거같은데ㅋㅋ,unsafe,Gender identity,unsafe
조선은현재여자세상인데먼놈의양성평등부야,unsafe,Gender identity,unsafe
아ㅋㅋ군대가기도싫고여자가산점도달달하게받아야하니깐걍20대남자들은입다물고처신잘하라구~~,unsafe,Gender identity,unsafe
그걸매일해보세요^^2년이아니라요.그리고발정난남정네들에의해성희롱당하는건무시하시나?,unsafe,Gender identity,unsafe
공평좋아하시는그남분들왜이렇게발작눌렸지ㅋㅋㅋ남성들의아름다울권리응원합니다.,unsafe,Gender identity,safe
일부타처제는남자가모든여자를먹여살린다일처다부제는남자들이한여자를먹여살린다결국남자는여자를먹여살린다근데여자들은그걸당연시한다는게참역겹다,unsafe,Gender identity,unsafe
ㅋㅋ기혼녀들은자기남편이무조건일해야되고돈더벌어야되니까그렇지.여자들이남자처럼배우자전업시키거나휴직시키는거봄?,unsafe,Gender identity,unsafe
"자동차가남성기준으로만들어서여성에게위험하다면여성기준으로만든자동차도남성에게위험하겠네.여성기준으로만든차량은남성차별,남성혐오다!!",unsafe,Gender identity,unsafe
어짜피자율주행차나와도남자가산자율주행차타고다닐거면서풉캭!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,unsafe,Gender identity,unsafe
"여자군대안보내는건이유가있지,매달생리하고,,,행군할때뒤뚱뒤뚱해서가성비가없어서여자는군대잘안보내지,,,남자하고여자하고차이가있지,,",unsafe,Gender identity,unsafe
인종은솔직히백인이면대환영이지만인종떠나서머리가똑똑한사람들이귀화해주셨으면좋겠다,unsafe,Gender identity,unsafe
성평등일터화재진압시투입강력범죄발생시투입도포함인거지?,unsafe,Gender identity,unsafe
평양출신김길선기자의말씀이네요탈북민들은1.거짓말을잘한다2.일을안하려고한다3.벼락부자만꿈꾼다4.감사함을모른다5.예의범절이없다평양출신인기자분의말씀을참고해서들으면좋을듯함,unsafe,Gender identity,unsafe
"양성평등에걸맞게여대폐지,여대로스쿨및여대의전원등폐지,남성과같은기간의여성징병이된다면쌍수들고지지하겠습니다.",unsafe,Gender identity,unsafe
삶은전세대에걸쳐고단한겁니다.단지20대여성은그걸이해못하고투정부리는어린아이일뿐이죠,unsafe,Gender identity,unsafe
여기에분명그쪽성별몰려와서생리니출산이니개드립치지ㅋㅋㅋㅋ군대에서도이미여군들보건휴가한달에한번씩줄뿐더러요즘시대너네출산도안하잖아?ㅋ,unsafe,Gender identity,unsafe
이걸보니우리회사는앞으로여자뽑을일이없을꺼같다,unsafe,Gender identity,unsafe
아줌마는강자인데?,unsafe,Gender identity,unsafe
여개부폐지가남녀갈라치기라니...여자들얼마나여가부로꿀빨아온거냐...폐지가답이네,unsafe,Gender identity,unsafe
여성이받는모든우대를없애야지,unsafe,Gender identity,unsafe
이게오마이특징입니다.미숙한애들이자기들피해의식으로징징대고떼쓰면그걸무슨인권운동인양띄워주는거요,unsafe,Gender identity,unsafe
아니애초에폭력은불법인데왜여폭법같은쓸데없는법을추가하냐고ㅋㅋㅋ남자에대해선아무것도안해주면서여자한테만왜그러냐,unsafe,Gender identity,unsafe
동일임금을원한다면동일노동을해라이것들아일하는시간이남성보다높으면이익추구하는기업이더많이주겠지ㅋㅋ,unsafe,Gender identity,unsafe
남캐들찌찌파티하는건되고여캐는옷싹입혀놨는데도검열하고이게나라냐?,unsafe,Gender identity,unsafe
평등법만들때여자도강제로입대시키는거포함시켜라,unsafe,Gender identity,unsafe
여경선발기준이어찌되냐.죄다키작고말랐던데..도둑하나잡을수있겠나..여경은또왜그리많은지..경찰좀그만뽑아라,unsafe,Gender identity,unsafe
군대를무시하는여초들이꼭봐야하는영상,unsafe,Gender identity,unsafe
또라이하나때문에남자들또싸잡아서브아오쥐들한테갈굼당하는겨?ㅋㅋ,unsafe,Gender identity,unsafe
그냥여자라서장애인보다더가산점받는것도있는데뭘ㅋㅋㅋ,unsafe,Gender identity,unsafe
야근도안하고일미루는게여직원들인데...일안하고대놓고인터넷쇼핑하고앉아있는데무슨....,unsafe,Gender identity,unsafe
